客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
2349,2,5,1,1,185,157.22,1785,62396,2,25,0,0
2439,2,5,1,1,183,157.22,1290,128877,8,0,0,1
989,2,5,1,1,199,157.2,730,208817,17,0,39,0
10384,2,5,0,0,211,157.2,1227,66433,12,17,0,0
14023,2,5,1,1,163,157.18,479,68421,0,5,0,0
3188,2,5,1,1,178,157.17,923,815826,7,156,0,0
9721,2,5,1,0,212,157.17,408,4581,0,94,20,1
12942,2,5,1,1,180,157.11,1153,475293,11,0,0,0
14513,2,5,1,1,189,157.11,1190,234950,8,0,0,0
2739,2,5,0,1,181,157.1,1344,119480,18,0,0,1
14162,2,4,1,1,146,157.09,1257,151539,13,1140,0,0
13246,2,5,0,0,203,157.08,1494,0,18,0,0,0
14319,2,5,1,0,202,157.08,901,508374,17,7,0,1
305,2,5,0,1,203,157.07,1408,253449,2,2,174,0
10419,2,5,0,0,199,157.07,1220,0,40,751,93,1
1369,2,5,1,1,193,157.05,1745,214003,5,10,0,0
6625,2,5,0,0,164,156.97,1936,4,25,24,0,1
4886,2,5,1,1,161,156.91,1231,295877,6,0,0,0
9626,2,5,0,0,190,156.91,450,5518,35,0,0,0
14005,2,5,0,0,164,156.91,848,129237,0,7,439,0
614,2,5,1,1,205,156.89,1263,297285,1,28,0,0
10338,2,5,1,0,215,156.86,579,45777,0,7,38,0
10395,2,5,0,0,200,156.86,1020,15217,2,75,550,0
15450,2,5,0,0,200,156.86,802,4450,30,0,106,0
10059,2,5,0,0,197,156.83,595,2788,17,8,6,0
4861,2,5,1,1,162,156.81,1054,797562,8,510,0,1
19549,3,4,0,1,86,156.7,427,350435,20,88,0,1
17702,3,5,1,1,177,156.67,800,116007,1,0,0,0
3940,2,5,1,1,168,156.66,2866,114030,22,93,0,1
7861,2,5,1,0,197,156.66,944,251037,19,14,41,0
16790,2,5,0,0,169,156.66,1240,75327,10,0,0,1
1912,2,5,1,1,188,156.65,825,47812,11,11,19,0
15062,2,5,0,0,225,156.64,1165,186512,30,102,104,1
13286,2,5,0,0,218,156.63,1799,590,30,95,115,1
9713,2,5,0,0,203,156.61,74,294959,5,69,0,1
6952,2,5,0,0,190,156.59,503,0,23,268,0,0
10438,2,5,0,0,199,156.56,1036,42,5,0,0,0
107,2,5,1,1,214,156.54,888,239828,2,12,721,0
12769,2,5,1,1,191,156.52,1094,99340,19,3,1,0
16019,2,5,0,0,186,156.51,1079,127808,14,8,5,1
4965,2,5,1,1,160,156.5,1133,283494,10,66,35,0
12890,2,5,0,1,185,156.5,2294,136805,3,134,97,1
10639,2,5,1,0,146,156.47,1826,0,12,5,24,1
224,2,5,1,1,205,156.45,2005,438903,3,176,0,0
583,2,5,0,1,212,156.45,1425,469763,19,58,8,0
2050,2,5,1,1,188,156.45,1622,184975,19,81,124,1
4771,2,5,1,1,162,156.45,614,740688,10,1,0,0
12442,2,5,1,1,161,156.45,31,61665,1,0,0,0
277,2,5,1,1,209,156.43,1592,451107,4,98,0,0
194,2,5,1,1,208,156.4,1880,88562,6,20,160,0
9998,2,5,1,0,221,156.4,1653,62861,15,39,0,0
13641,2,5,1,1,184,156.4,1568,35694,2,0,0,0
2007,2,5,1,1,188,156.37,876,75163,11,81,20,1
3604,2,5,1,1,172,156.37,1505,608072,9,0,0,1
5186,2,5,1,1,159,156.37,918,280717,17,32,442,1
11906,2,5,0,0,192,156.35,1631,74199,26,89,0,0
17203,2,5,1,0,168,156.34,959,465,14,33,0,1
10626,2,5,0,0,175,156.33,2185,22808,9,93,0,0
2734,2,5,1,1,181,156.25,1168,151976,3,0,983,0
12841,2,5,1,1,187,156.25,1853,70968,2,190,0,0
8360,2,5,1,0,178,156.24,531,352397,5,0,0,0
10038,2,5,0,0,201,156.23,1434,119834,26,28,0,1
15034,2,5,1,0,216,156.23,794,57264,6,225,1,0
16231,2,5,0,0,183,156.22,2010,4864,7,0,0,0
3998,2,5,1,1,168,156.16,1120,620872,11,0,0,0
680,2,5,1,1,213,156.14,581,311900,6,0,0,0
8350,2,5,1,1,180,156.09,1420,310607,7,0,0,0
19863,3,5,1,0,205,156.08,496,130808,7,0,0,0
4848,2,4,1,1,162,156.06,586,130803,5,1,0,0
9606,2,5,1,0,207,156.05,1251,44005,9,0,0,0
1046,2,5,1,1,196,156.03,2456,152054,6,8,0,0
1981,2,5,1,1,189,156.03,926,711474,0,7,390,1
12912,2,5,1,1,180,156.02,1113,14172,8,0,0,0
17134,2,5,1,0,160,156.02,1636,26884,11,7,41,0
3193,2,5,1,1,177,156.01,1969,665014,7,235,0,0
2457,2,5,1,1,184,155.98,580,1151081,5,0,519,1
12574,2,5,1,0,202,155.98,1229,209172,22,0,0,1
10565,2,5,1,0,182,155.96,1013,18688,4,89,9,0
4491,2,5,1,1,164,155.9,810,218484,10,0,0,0
10024,2,5,1,0,66,155.9,208,29104,2,9,83,0
12520,2,5,0,0,209,155.9,1041,107586,23,0,0,0
10495,2,5,0,0,189,155.88,1751,65967,10,0,0,0
3145,2,5,1,1,178,155.86,1739,392918,10,12,0,0
14656,2,5,1,1,182,155.78,2824,359518,11,2,0,0
3036,2,5,1,1,179,155.76,635,734670,5,585,0,0
10091,2,5,1,0,193,155.74,2217,56123,4,0,0,0
